textDisplay,authorDisplayName,likeCount,publishedAt,sentimen,kategori
awal nya gua kira kak pira kalau gak kak mythia ternya ta bukan,"《@{DEDY_HERMAWAN}""》",0,2023-08-15T10:55:48Z
Hai kk,Sucipta Komang,0,2023-08-13T00:11:20Z
ade glowing skin care die😂,inamul hasan mohd adzhar,0,2023-08-10T06:21:33Z
N.E.E.T assassin dong..,Andras,0,2023-08-07T23:27:26Z
Maaf kak aku telat karena ada kerjaan,anakin,0,2023-08-07T08:59:06Z
"<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",Taka777mad,0,2023-08-07T07:31:00Z
Aku penasaran seperti apa model barunya,Zaifah channel ,0,2023-08-07T07:28:24Z
"Terong 4no berevolusi<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",Rahmana ilyas,0,2023-08-07T06:00:00Z
apakah akan makin 4no adick adick,Yusrizal Hakim,0,2023-08-07T03:16:49Z
"Kukira dah kebal sama kejutan dari anomali satu ini, ternyata anomali tetaplah anomali🤔ᕙ⁠(⁠⇀⁠‸⁠↼⁠‶⁠)⁠ᕗ",Ari Film,0,2023-08-07T03:14:22Z
Tinggal tunggu penyihir kuning balik 2.0 mungkin,Bambang Anjasmara,0,2023-08-07T01:51:55Z
Terong assassin,Gaotaqy,0,2023-08-07T01:16:15Z
Terlihat seperti ada senjata yang mencerminkan seorang assassin<br>Tapi keknya percuma deh orang assassin nya tukang rebahan,Gilangtrisatyaa,2,2023-08-07T00:30:12Z
Anjay terong 2.0,Hamzah Nashirul,0,2023-08-07T00:11:22Z
"Ganti baju doang, mandi kaga",FaarHoney,0,2023-08-06T23:30:41Z
"saya ngeliat silhuet Handuk di pundaknya, fix jadi mamang galon eci.",Galang,0,2023-08-06T23:13:49Z
Shin Tae rong 😱<br>(Assassin terong),Fatih,0,2023-08-06T22:49:43Z
Oh jadi hiatus buat fiting baju,MEZIUEcorp,0,2023-08-06T22:19:03Z
"Si terong bawel dan tsun tsun kesayangan kita ahirnya mendapatkan new costume<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",Moon gemoy~,2,2023-08-06T21:58:32Z
"ikuzoooo akhirnya punya baju baru <a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",LucyVita Krisna,0,2023-08-06T21:27:53Z
"wow, evolusi terong? 😮",Dika Toki,0,2023-08-06T18:54:27Z
Cosplay terong kah kak ci?,Axila,0,2023-08-06T18:48:47Z
"Tetep, minimal mandi <a href=""about:invalid#zCSafez""></a>",Abiyasa,0,2023-08-06T17:31:08Z
Bau2 make jaket/ baju lengan panjang,Exia GN001,0,2023-08-06T17:09:52Z
Nice~! Aku ga sabar pengen lihat model barumu~ 💜,Ariel Demon Lady Ch. アリエル魔王レディちゃんねる,3,2023-08-06T16:54:13Z
Sampe lupa kalo dia assasin,takoyaki pedas,0,2023-08-06T16:53:16Z
WOWWWW 😮,Anonym,0,2023-08-06T16:48:09Z
Yeahh egg plant bunny🎉,Tuah Gandhi,1,2023-08-06T16:42:57Z
"Wadaw outfit lessgo chii <a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",Kharir,0,2023-08-06T16:39:52Z
"<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",DickyE,0,2023-08-06T16:16:04Z
"Mana ada assasin kelinci terong baru bener <a href=""about:invalid#zCSafez""></a>",Yagami Kirizu | Kanade Clipper Ch,0,2023-08-06T16:13:17Z
Ikuzoooo,Zeeakins_,0,2023-08-06T16:12:19Z
Assassin Eggplant Bunny. <br>A brand new season <br>A brand new anomaly,R_Haditya,7,2023-08-06T16:10:05Z
Apakah echi menjadi kobo yang berwarna 🍆🤣🤣,FELL,0,2023-08-06T15:58:00Z
Outfit terong apa lagi nich,ayakaa_edit,1,2023-08-06T15:57:04Z
cyberpunk?,scaramouse,0,2023-08-06T15:53:54Z
Jadi terong ijo kah?,Masrum Isa,0,2023-08-06T15:53:17Z
🎉🎉🎉,Darkoplo,2,2023-08-06T15:47:26Z
Assassin apaan anomali yg ada,Its Dayatt,0,2023-08-06T15:46:07Z
Waifuu terong 2.0,Vinnn。,16,2023-08-06T15:45:47Z
anjay.. terong balado kah? 😭,Farhan_NH,0,2023-08-06T15:43:00Z
waahhh skin baru,Dedews,0,2023-08-06T15:42:42Z
Wow,brian ahadiyatna,1,2023-08-06T15:41:50Z
Ikzzz,lusia,0,2023-08-06T15:41:41Z
"<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",Firdaus Masgalih,0,2023-08-06T15:41:24Z
Terong skin elite 😱😱,Gopalmaut,0,2023-08-06T15:40:39Z
omaga,Allan,0,2023-08-06T15:40:23Z
"MANTAP <a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",M. Rahman,0,2023-08-06T15:40:06Z
💐💮,Wanda Bagus Sebastian,0,2023-08-06T15:39:59Z
"<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",JejehXD,0,2023-08-06T15:39:53Z
"Woow, is that you rong?",Rayhan Erdami,0,2023-08-06T15:39:52Z
Yooo let&#39;s gooo,Mirza Pandiangan,1,2023-08-06T15:39:46Z
Terong skin baru,Rizky Ramdhan,1,2023-08-06T15:39:42Z
Terong ni boss senggol,? Pur,0,2023-08-06T15:53:07Z
YOOO 😱😱😱,Fernando,0,2023-08-06T15:39:39Z
Beautifull,misbah_uy,1,2023-08-06T15:39:39Z
Wow outfit baru,Ctw---r,0,2023-08-06T15:39:26Z
Widihh,Depon,0,2023-08-06T15:39:25Z
Nani?,Radif Afrilio Putra,0,2023-08-06T15:39:22Z
"Uwoogggghhh ikzzz <a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",Keymal,0,2023-08-06T15:39:19Z
Pertama,ZAFIRA RAHMAN,1,2023-08-06T15:39:10Z
Hmm blh gk lht muka nya pls,Ali.,0,2023-10-18T07:08:34Z
Kaka hot bgt deh,Elguinn Ventrix Pilongo 1617014,0,2023-10-04T13:59:19Z
Pantas di game selalu di bilangin bot,Kyota UwU,0,2023-09-24T07:14:04Z
Halo Kak Sena Kamu Cantik Banget,S4K_Fahz 072,0,2023-09-12T16:31:21Z
Eeee kak kenapa gk login bakwan?,Endru™,0,2023-08-23T07:51:31Z
Tapi gaada respect sama org lain,Nafthalino,0,2023-08-19T06:12:11Z
suaranya imut,dani putra,0,2023-08-09T20:04:50Z
Kak muka lu kek batu Malin Kundang,Qila Adeva soraya,0,2023-08-06T06:48:54Z
Aku like ke 1rb..<br>Dapat apa nih sena😮,Daniel Sinambela,1,2023-08-01T20:35:56Z
Kak Sena kok jarang main bakwan,Al Aqih,0,2023-07-29T17:32:17Z
Kangen sena live bareng yutaa,w.,1,2023-07-29T06:29:47Z
Ih kk kuu,Rikhan 515〘 ジェミング 〙,0,2023-07-28T23:50:24Z
Aku tau minyak samsu berkat sena,Kucing koprol,0,2023-07-24T12:09:37Z
Ternyata Sena lahir tahun 2012 ternyata lebih tua aku,L14N2010,0,2023-07-20T15:28:09Z
"Iya deh iya Sena jago nyanyi sampai membuat aku tidur , jago main game Sampai para top player hanyalah pemain biasa dan jago nangis 😂😂 tapi kalau aku punya adik kayak Sena yang lucu dan imut dan Vtuber mau lah ya kan",Eka ardiansyah,0,2023-07-18T08:27:23Z
Iya bagus banget wah iya <br><br><br><br><br><br><br>Iya in aja biar seneng :v,NoodleCandy123,0,2023-07-15T14:32:00Z
"saya butuh karung disini<a href=""about:invalid#zCSafez""></a>😋",si kun kun,0,2023-07-15T08:25:57Z
Lucuu bangett sena😖,Valkyrie 逃げて,1,2023-07-13T13:00:53Z
Oh jadi sena namanya sena,FG3H 205,0,2023-07-13T12:59:57Z
Sangat jago mainnya ya?,Cakrawala,2,2023-07-13T08:57:20Z
wow,GNGSTR_alan,0,2023-07-13T08:55:41Z
