comments,authors,likes,datetimes,sentimen,kategori
Konteks dong kenapa sena hiatus? Belum liat livenya semalam,apipudinmahdi,14 likes,2023-10-11T08:14:43.000Z,netral,pertanyaan
Cepetan sehatnya sen biar warga nanes gak kangen 😂,4r1f_samsul,2 likes,2023-10-12T05:34:02.000Z,positif,feedback
Semangat terus kucingku :3,hitori_yopi,1 like,2023-10-11T09:57:30.000Z,positif,engagement
"Ya, Selamat menikmati hiatusnya ya sen kalo boleh setelah hiatus terus live streaming ngomongin kamu abis dari mana aja ya sen. Semoga senang menjalani hiatusnya 😍😍😍😍",yukilovein,2 likes,2023-10-11T09:53:55.000Z,positif,feedback
Semangat sena. Istirahat yang cukup ya. Kurangin begadang main valo ❤️❤️,echo.8889,1 like,2023-10-11T08:10:57.000Z,positif,feedback
❤️,alfikurniawan01,1 like,2023-10-11T08:58:48.000Z,netral,engagement
"Sen jangan lupa makan yang teratur sen biar cepet sembuh,kita selalu do'a in  kamu kapanpun di manapun sen😂 .semangat nya!!",hideki_nishimura365,2 likes,2023-10-11T09:08:52.000Z,positif,feedback
SENAngat 🚀,fikrirock,1 like,2023-10-11T08:19:35.000Z,positif,engagement
semangat🙌😍😍😍,abdrhmn_faldi,1 like,2023-10-11T08:39:55.000Z,positif,engagement
Semangatt ya kucingku yang baik semoga kebahagiaan selalu menyertaimu ❤️,buahtomat,5 likes,2023-10-11T08:42:47.000Z,positif,engagement
Hiatus jgn lama lama ya >:( aku setia menunggu,enokii__,1 like,2023-10-11T09:07:18.000Z,positif,feedback
"Cepat sena, biar bisa live streaming lagi😁",ryuzu_x,1 like,2023-10-11T08:53:33.000Z,positif,engagement
Semangat kucingggg🔥🔥🔥 gws,bran_x_dar,0 likes,2023-10-11T08:08:59.000Z,positif,engagement
Semangat Sena 🥰💖💖💖💖,onibaebae,0 likes,2023-10-11T08:09:21.000Z,positif,engagement
semangat kesayanganku 🤍,ttobioo_,0 likes,2023-10-11T08:10:00.000Z,positif,engagement
Semangat sena🔥🔥,cartzz_9,0 likes,2023-10-11T08:10:02.000Z,positif,engagement
🙌🔥❤️,nofriyudha_p,0 likes,2023-10-11T08:10:43.000Z,positif,engagement
Fase Burnout emang paling ngeselin,bunga__beracun,0 likes,2023-10-11T08:18:38.000Z,negatif,engagement
SEMANGAT SHENGKU🥰❤️,ilmannurhadi_,0 likes,2023-10-11T08:19:08.000Z,positif,engagement
Semangat say,zaidan_hamid,0 likes,2023-10-11T08:20:11.000Z,positif,engagement
Cemangat senaskuy❤️,yourfavourite_mannn,0 likes,2023-10-11T08:22:52.000Z,positif,engagement
"Semangatt senaa, gwss🔥",andhi_kay,0 likes,2023-10-11T08:25:06.000Z,positif,engagement
Nooo😭😭😭bocil rehat,adybgs_22,0 likes,2023-10-11T08:26:37.000Z,positif,engagement
Ganbatte🔥,bochan_2.0,0 likes,2023-10-11T08:30:20.000Z,positif,engagement
