comments,sentimen,kategori
sebelum kamu hiatus bolehkah aku pinjem seratus,Netral,Engagement
Jadi semangat banget buat workout,Netral,Engagement
Punya ku sen,Netral,Engagement
Sena aku ultah sena,Netral,Engagement
Udah bang... Iya bang gak pamer pamer lagi... Udah bang,Netral,Engagement
Sasuga Anak Chief V,Netral,Engagement
ekspresi ketika di kasih duit,Netral,Engagement
Paha krispy,Netral,Engagement
Expresi wajah di tanggal tua,Netral,Engagement
siap overdosis zetamin!,Netral,Engagement
woooo koi premium,Netral,Engagement
Expresi wajah di tanggal tua,Netral,Engagement
beda 2 hari dengan holoh3ro,Netral,Engagement
Maaf hutang 100 nya saya lunaskan,Netral,Engagement
Bisa bisanya aku ngikutin chord nya pake gitar akustik biasa,Netral,Engagement
"lagu ini dlu mau dia bawa buat pensi di sekolah hehehe sampe dia belajar main gitar berjam jam. dan lagu ini dibawain dia buat nembak aku dan dari situ lah aku menerima dia...",Netral,Engagement
Mayan buat playlist pas lagi senggang ato ga belajar,Netral,Engagement
Gabut sekali kaka yang satu ini,Netral,Engagement
Guys Disclaimer Ini Itu Bakal Ada<br> Skin Baru Yang Bertema Haloween<br>Jadi Tingal Nunggu Waktu Aja,Netral,Engagement
Saya itu nekoyama Sena biasa di panggil Sena nama bapak saya John sena,Netral,Engagement
Nambah koleksi,Netral,Engagement
Hmm... I'm waiting for the world market to change first..,Netral,Engagement
Vtuber satu ini sangat senang jika karakternya di jadikan bahan cabul,Netral,Engagement
Sabar sayanggg pasti nonton kok,Netral,Engagement
Kalau Rick roll nya kayak Gini Gak ada yang kesel wkwkwk,Netral,Engagement
fun fact sena suka banget cosplay jadi clara honkai star rail,Netral,Engagement
Nice try sen nice try....👏👏,Netral,Engagement
Hallo Sena bocil,Netral,Engagement
jadi adiknya om kratos🗿,Netral,Engagement
Sena juga bisa jadi kobra,Netral,Engagement
Lagu yg bikin sedih dan bikin seneng Terima kasih ya kak Chi,Netral,Engagement
"seumuran SMP, langsung mau aku lamar",Netral,Engagement
"dengan kriteria sempurna, langsung mau aku lamar",Netral,Engagement
"Bukan hanya mengajak bergabung ke komunitas kami kami juga menghargai mereka dengan berbagai penghargaan dan hadiah<br><br>Melalui berbagai event-event menarik",Netral,Engagement
Terong ketika disalahgunakan,Netral,Engagement
Gas,Netral,Engagement
Coki pardayday: Tidak!!!! Hehehe iya,Netral,Engagement
Iman ku masih kuat aku tidak akan terpengaruh ahh,Netral,Engagement
Iya sena kami tunggu besok ya,Netral,Engagement
Turunkan link,Netral,Engagement
Tampang Heavy metal tapi hati Hello Kitty,Netral,Engagement
Over size dikit enggak ngaruh 🗿,Netral,Engagement
Lebih baik aku lindungi karena aku suka kucing,Netral,Engagement
Pakai nanya🗿,Netral,Engagement
Tergantung harga dan diskon nya,Netral,Engagement
Wujud asli sena,Netral,Engagement
Pake nanya,Netral,Engagement
kuramal garis tanganmu nampaknya kita jodoh❤,Netral,Engagement
Kaya tangan bayi,Netral,Engagement
Potong tengah+manis,Netral,Engagement
Silahkan konfirmasi ke saya,Netral,Engagement
kelingking nya warna 🍆,Netral,Engagement
Dimataku semuanya terlihat seperti warna terong chi,Netral,Engagement
Ramaikan lalu......,Netral,Engagement
Sedang mencari keanehan,Netral,Engagement
Telapak tangan nya manager sama kaya gw woi lah,Netral,Engagement
"Tangan-tangan" gak pernah kena cipratan minyak panas sata goreng telor mata sapi🐔",Netral,Engagement
woo woo wangi wangi tangan eci,Netral,Engagement
Salam sehat😎👊,Netral,Engagement
Pasti pas rekaman dikepalanya terngiang iya iya,Netral,Engagement
jangan tergoda kaum muslim 👑,Netral,Engagement
jangan jangan ini Ame versi extended,Netral,Engagement
Ketika lupa minum obat,Netral,Engagement
genjutsu nya kuat kali,Netral,Engagement
lanjut scroll aja bang gw dsini udh satu minggu,Netral,Engagement
"Hei, kawan, lanjut aja. Saia sudah tiga hari di sini",Netral,Engagement
Sisi lain dari si terong ini lebih berbaya lagi,Netral,Engagement
Sudah seminggu saya disini,Netral,Engagement
Ketika lagi nonton youtube :,Netral,Engagement
Kuku macan,Netral,Engagement
Kuku Kucing Tuh...,Netral,Engagement
Bro like foto gue dong,Netral,Engagement
Kak Chloe aku bocil replay🥺,Netral,Engagement
Santai dah sena legal dah sudah tidak di awasi FBI,Netral,Engagement
"Beli baju gratis sena",Netral,Engagement
Berani maju gw sundul tuh jidat,Netral,Engagement
@_imsleepyashell yang cubit saya btw,Netral,Engagement
Gua denger denger kalo ketemu wibu pukul aja🗿,Netral,Engagement
Aku gak tega,Netral,Engagement
aku ajak pacarku tapi ya,Netral,Engagement
Di dalam karakter vtuber imut terdapat karakter om om berjanggut,Netral,Engagement
Dimatakuh Rambutnya kak cloe bersinar terang,Netral,Engagement
jarinya logo Twitter terbaru,Netral,Engagement
infokan masjid terdekat,Netral,Engagement
Mungkin dia cewek yg pengen ikut sholat jumat doang :v,Netral,Engagement
Akhiri Agustus Dengan Jurus Pinjam Seratus Lebih Baik Lima Ratus👍👍👍,Netral,Engagement
Only down ini mah,Netral,Engagement
30 detik tamat ni game,Netral,Engagement
Opening nya dri semangat sampe depresi,Netral,Engagement
selamat pagi chii,Netral,Engagement
Lu punya daily resin lu punya kuasa,Netral,Engagement
Ekspresi di tinggal satpam dan seekor hewan :v,Netral,Engagement
Buka kacamata nya👀,Netral,Engagement
Dibalik kacamata itu ada air mata yang terbendung,Netral,Engagement
Ungu : lu mati gw party coy,Netral,Engagement
SOLID SOLID SOLID,Netral,Engagement
EHE..!!!. Macam kenal SEPERTINYA tertular vtuber biru ni,Netral,Engagement
Emang beda ungu satu ini,Netral,Engagement
Aku dari serang sena salam kenal,Netral,Engagement
Ntar kalau di comifuro ada yg wangi wangi fix sena skuy itu,Netral,Engagement
Mantap sen,Positif,Engagement
thanks sen 😔,Positif,Engagement
Let's go graduasi stream🗣️🔥🔥🔥🛫✈️💥🏢🏢,Positif,Engagement
Sen kamu lucu banget sih,Positif,Engagement
"Ih Cena kawai",Positif,Engagement
Nice cover kak sena,Positif,Engagement
Mirip foto aku dong cuma beda nya aku pake jaket yellow 😂😂😂,Positif,Engagement
Terong satu ini emot senyum muka kek sempak😂,Positif,Engagement
Greenlight guys blm ada cincinnya,Positif,Engagement
Ternyata anime ini punya tangan live action,Positif,Engagement
kuku nya lebih cantik daripada org nya 😋,Positif,Engagement
"cakep bang kuku nya kek prakarya anak sd 🙏🏻🙏🏻😍😍",Positif,Engagement
Siapa sangka tangan seindah itu bisa digandeng suatu hari nanti 😮😍,Positif,Engagement
Ekspresi ketika kak echi kena jumpscare😂 btw semangat terus kak🌷,Positif,Engagement
cantik banget chi.. keyboard nya,Positif,Engagement
Lagu favorite di cover orang yg tepat ya gini,Positif,Engagement
cantik banget kukunya🥰🥰,Positif,Engagement
Keren juga kuku kaki elu chi,Positif,Engagement
Lebih lebar dari kuku gw omg. What a chad nails,Positif,Engagement
lucu banget chi kukunya cocok buat adu panco,Positif,Engagement
"Thank You echi for the Wallpaper akhirnya layar kunci sama layar awalku bertemakan echi <a href=""about:invalid#zCSafez""></a>",Positif,Engagement
